"","tier","start","stop","duration","comment_clean","referent","relavence","classification","id","ant"
"1","Caregiver linguistic",102.26,102.633,0.373,"agua","taza",0,"normal","121","label - object imaginary"
"2","Caregiver linguistic",110.719,111.185,0.466,"agua","taza",0,"normal","121","label - object imaginary"
"3","Caregiver linguistic",118.553,118.983,0.43,"agua","taza",0,"normal","121","label - object imaginary"
"4","Caregiver linguistic",120.801,121.265,0.464,"agua","taza",0,"normal","121","label - object imaginary"
"5","Caregiver linguistic",121.779,122.235,0.456,"agua","taza",0,"normal","121","label - object imaginary"
"6","Caregiver linguistic",266.566,267.025,0.459,"agua","taza",0,"normal","121","label - object present"
"7","Caregiver linguistic",268.816,269.354,0.538,"agua","taza",0,"normal","121","label - object present"
"8","Caregiver linguistic",271.025,271.409,0.384,"agua","taza",0,"normal","121","label - object present"
"9","Caregiver linguistic",344.939,345.854,0.915,"agua","taza",0,"normal","146","label - object imaginary"
"10","Caregiver linguistic",226.344,226.615,0.271,"agua","taza",0,"normal","141","label - object imaginary"
"11","Caregiver linguistic",328.47,328.91,0.44,"agua","taza",0,"normal","372","label - object imaginary"
"12","Caregiver linguistic",128.806,129.1,0.294,"agua","taza",0,"normal","182","label - object imaginary"
"13","Caregiver linguistic",239.473,239.881,0.408,"agua","taza",0,"normal","401","label - object imaginary"
"14","Caregiver linguistic",142.754,143.211,0.457,"agua","taza",0,"normal","133","label - object imaginary"
"15","Caregiver linguistic",145.165,145.574,0.409,"agua","taza",0,"normal","133","label - object imaginary"
"16","Caregiver linguistic",150.727,151.325,0.598,"agua","taza",0,"normal","196","label - object imaginary"
"17","Caregiver linguistic",151.619,152.069,0.45,"agua","taza",0,"normal","196","label - object imaginary"
"18","Caregiver linguistic",154.052,154.462,0.41,"agua","taza",0,"normal","196","label - object imaginary"
"19","Caregiver linguistic",44.102,44.549,0.447,"agua","taza",0,"normal","260","label - object imaginary"
"20","Caregiver linguistic",44.882,45.255,0.373,"agua","taza",0,"normal","260","label - object imaginary"
"21","Caregiver linguistic",209.969,210.919,0.95,"agua","taza",0,"normal","260","label - object present"
"22","Caregiver linguistic",20.026,20.446,0.42,"agua","taza",0,"normal","121","label - object imaginary"
"23","Caregiver linguistic",22.715,23.21,0.495,"agua","taza",1,"relevant","121","label - object imaginary"
"24","Caregiver linguistic",86.06,86.554,0.494,"agua","taza",0,"normal","121","label - object imaginary"
"25","Caregiver linguistic",88.754,89.347,0.593,"agua","taza",0,"normal","121","label - object imaginary"
"26","Caregiver linguistic",96.421,97.321,0.9,"agua","taza",0,"normal","121","label - object imaginary"
"27","Caregiver linguistic",98.163,98.631,0.468,"agua","taza",0,"normal","121","label - object imaginary"
"28","Caregiver linguistic",232.661,233.021,0.36,"agua","taza",0,"normal","150","label - object imaginary"
"29","Caregiver linguistic",339.496,340.009,0.513,"agua","taza",0,"normal","146","label - object imaginary"
"30","Caregiver linguistic",161.138,161.637,0.499,"agua","taza",0,"normal","141","label - object imaginary"
"31","Caregiver linguistic",213.03,213.419,0.389,"agua","taza",0,"normal","141","label - object imaginary"
"32","Caregiver linguistic",214.594,214.956,0.362,"agua","taza",0,"normal","141","label - object imaginary"
"33","Caregiver linguistic",217.986,218.253,0.267,"agua","taza",0,"normal","141","label - object imaginary"
"34","Caregiver linguistic",219.747,220.042,0.295,"agua","taza",0,"normal","141","label - object present"
"35","Caregiver linguistic",223.254,223.554,0.3,"agua","taza",0,"normal","141","label - object imaginary"
"36","Caregiver linguistic",224.394,224.67,0.276,"agua","taza",0,"normal","141","label - object imaginary"
"37","Caregiver linguistic",356.364,356.915,0.551,"agua","taza",0,"normal","141","label - object imaginary"
"38","Caregiver linguistic",121.778,122.212,0.434,"agua","taza",0,"normal","182","label - object imaginary"
"39","Caregiver linguistic",122.807,122.994,0.187,"agua","taza",0,"normal","182","label - object imaginary"
"40","Caregiver linguistic",243.697,244.031,0.334,"agua","taza",0,"normal","401","label - object imaginary"
"41","Caregiver linguistic",132.2,132.588,0.388,"agua","taza",0,"normal","133","label - object imaginary"
"42","Caregiver linguistic",134.583,135.019,0.436,"agua","taza",0,"normal","133","label - object imaginary"
"43","Caregiver linguistic",136.307,136.777,0.47,"agua","taza",0,"normal","133","label - object imaginary"
"44","Caregiver linguistic",148.16,148.609,0.449,"agua","taza",0,"normal","133","label - object imaginary"
"45","Caregiver linguistic",292.918,293.336,0.418,"aguacate","aguacate",0,"normal","145","label - object present"
"46","Caregiver linguistic",224.32,225.1,0.78,"aguacate","aguacate",0,"normal","190","label - object present"
"47","Caregiver linguistic",255.874,257.322,1.448,"aguacate","aguacate",0,"normal","190","label - object present"
"48","Caregiver linguistic",254.228,254.995,0.767,"aguacate","aguacate",0,"normal","157","label - object present"
"49","Caregiver linguistic",356.824,358.03,1.206,"aguacate","aguacate",0,"normal","157","label - object present"
"50","Caregiver linguistic",284.607,286.37,1.763,"aguacate","aguacate",0,"normal","114","label - object present"
"51","Caregiver linguistic",52.56,53.34,0.78,"aguacate","aguacate",0,"normal","168","label - object present"
"52","Caregiver linguistic",290.226,291.075,0.849,"aguacate","aguacate",0,"normal","132","label - object present"
"53","Caregiver linguistic",292.404,293.951,1.547,"aguacate","aguacate",0,"normal","132","label - object present"
"54","Caregiver linguistic",299.742,301.289,1.547,"aguacate","aguacate",0,"normal","132","label - object present"
"55","Caregiver linguistic",303.433,305.264,1.831,"aguacate","aguacate",0,"normal","132","label - object present"
"56","Caregiver linguistic",105.003,105.684,0.681,"aguacate","aguacate",0,"normal","141","label - object present"
"57","Caregiver linguistic",17.983,18.786,0.803,"aguacate","aguacate",0,"normal","308","label - object present"
"58","Caregiver linguistic",273.735,275.477,1.742,"aguacate","aguacate",0,"normal","182","label - object present"
