id,sex,child_born_US,mom_birth_country,mom_ed_L1_pre,dad_birth_country,dad_ed_L1_pre,hi_L1_pre,age_18m,age_25m,DRT_L1_preKnown,DRT_L1_preKnownN,DRT_L1_preKnownSD,GoodDRT_L1_preKnown,DRT_L1_postKnown,DRT_L1_postKnownN,DRT_L1_postKnownSD,GoodDRT_L1_postKnown,notGoodRT_L1_post_reason,ACC_L1_pre3001800Known,ACC_L1_pre3001800KnownN,ACC_L1_pre3001800KnownSD,GoodACC_L1_pre3001800Known,ACC_L1_post3001800Known,ACC_L1_post3001800KnownN,ACC_L1_post3001800KnownSD,GoodACC_L1_post3001800Known,CDI_age_18m,CDI_understands_words_18m,CDI_produces_words_18m,CDI_age_25m,CDI_vocab_25m
84,0,1,mexico,14,mexico,9,23,18.6,26.2,1258.5,6,201.9076522,1258.5,889.4545455,11,326.9080493,889.4545455, ,0.678761154,29,0.344688497,0.678761154,0.5,26,0.351387625,0.504865148,18,103,33,26,292
105,0,1,el salva,16,mexico,12,35,19.3,25.1,1138.888889,9,391.3669775,1138.888889,1010.823529,17,401.8082931,1010.823529, ,0.492329481,39,0.417298263,0.492329481,0.6,37,0.33905926,0.60283269,20,209,43,25,124
109,0,1,el salva,9,el salva,6,19.5,19.1,26.5,961.8571429,7,411.5136403,961.8571429,664.2142857,14,205.7059808,664.2142857, ,0.422377075,13,0.298270114,0.422377075,0.72,33,NA,0.715222162,19,160,140,27,355
114,0,1,mexico,6,mexico,10,16,18.5,25.2,884.7272727,11,369.2517003,884.7272727,889.5625,16,287.3740811,889.5625, ,0.599771464,30,0.344906709,0.599771464,0.66,29,NA,0.657063306,19,114,9,25,139
121,1,1,mexico,11,mexico,16,33.5,17.5,24.7,647.3333333,6,414.0805075,647.3333333,863.3,10,264.3133872,863.3, ,0.624764855,12,0.390243926,0.624764855,0.67,24,0.30493968,0.673917234,19,130,0,26,347
132,0,1,usa,13,mexico,13,40,17.6,24.8,916.6,5,213.112177,916.6,726.1111111,9,160.0729868,726.1111111, ,0.722596444,10,0.280492033,0.722596444,0.51,18,NA,0.513843622,18,223,67,26,446
133,0,1,mexico,12,mexico,12,22,17.1,24.5,691.75,4,241.1049218,691.75,1083.25,4,513.7264999,1083.25, ,0.553225919,11,0.343396877,0.553225919,0.46,20,0.394778643,0.458336731,17,61,2,25,252
140,1,1,mexico,10,el salva,9,17.5,19.8,25.3,1115.25,12,393.0776294,1115.25,743.5384615,13,228.1858217,743.5384615, ,0.548811049,41,0.394276464,0.548811049,0.68,34,0.290849926,0.679134701,21,388,166,24,280
141,1,1,mexico,8,mexico,12,20,19.2,26.5,916.5,2,23.33452378,916.5,841.75,4,317.95951,841.75, ,0.600605623,13,0.287102207,0.600605623,0.73,15,0.281677297,0.72870429,19,196,6,27,525
145,1,1,mexico,12,NA,11,28,19.5,25.2,605.5,6,187.0216565,605.5,547,16,139.9819036,547, ,0.710235244,16,0.247484079,0.710235244,0.77,38,0.20588087,0.773385365,21,278,163,25,410
