"","id","gestures","labels","labels_w_gestures"
"1","084",14,38,11
"2","105",20,86,32
"3","109",26,81,30
"4","114",41,68,37
"5","121",21,43,25
"6","132",28,55,25
"7","133",13,35,9
"8","140",10,49,12
"9","141",26,120,40
"10","145",17,46,15
"11","146",19,24,11
"12","150",27,41,22
"13","157",17,91,22
"14","168",19,58,20
"15","182",32,63,31
"16","190",13,42,9
"17","192",17,51,15
"18","193",10,22,9
"19","196",7,61,9
"20","197",15,0,0
"21","232",16,34,14
"22","260",21,53,16
"23","308",15,33,11
"24","309",33,59,41
"25","310",10,24,5
