"","id","gestures","labels","labels_w_gestures","iconic","point","hold_out","touch","labels_w_rel_gestures"
"1","084",14,38,11,0,2,11,1,9
"2","105",20,86,32,0,0,19,1,26
"3","109",26,82,31,0,5,21,0,25
"4","114",41,68,37,1,18,22,0,34
"5","121",21,43,25,0,0,21,0,17
"6","132",28,55,25,0,6,22,0,21
"7","133",13,35,9,0,0,11,2,4
"8","140",10,49,12,0,0,9,1,8
"9","141",26,120,40,0,2,24,0,21
"10","145",17,46,15,1,3,12,1,10
"11","146",19,24,11,0,2,17,0,10
"12","150",27,41,22,0,0,24,3,16
"13","157",17,91,22,0,1,14,2,19
"14","168",19,60,21,0,2,17,0,17
"15","182",32,63,31,1,12,18,1,15
"16","190",13,43,10,0,0,13,0,8
"17","192",17,48,13,1,1,15,0,12
"18","193",10,22,9,0,1,8,1,6
"19","196",7,61,9,0,0,7,0,7
"20","197",15,0,0,0,1,14,0,0
"21","232",16,34,14,0,3,13,0,14
"22","260",21,53,16,0,3,17,1,10
"23","308",15,33,11,0,4,11,0,8
"24","309",33,59,41,0,10,22,1,36
"25","310",10,24,5,0,2,8,0,4
"26","351",9,16,3,0,0,9,0,3
"27","354",11,26,10,0,0,11,0,10
"28","355",13,77,16,0,8,5,0,12
"29","369",21,41,20,0,10,11,0,14
"30","370",18,18,8,0,0,18,0,8
"31","372",12,24,6,0,0,12,0,5
"32","400",29,59,23,0,7,21,1,15
"33","401",16,46,20,0,4,12,0,11
"34","411",23,50,16,0,4,19,0,14
"35","414",17,14,7,0,0,17,0,7
"36","415",15,24,10,0,0,15,0,6
"37","417",15,39,10,0,3,12,0,8
"38","431",29,80,37,0,5,21,3,31
"39","433",7,16,3,0,3,3,1,3
"40","435",10,11,5,0,1,9,0,5
"41","436",10,13,3,0,6,3,1,3
"42","444",27,30,19,0,2,23,2,15
"43","445",2,5,2,0,0,2,0,1
