Begin Time - ss.msec,End Time - ss.msec,Duration - ss.msec,Child nonlinguistic,Caregiver nonlinguistic,Child linguistic,Caregiver linguistic,File,id
506.705,508.244,1.539,hold out/give [a21],,,,217_18m_socpop_consensus.eaf,217
716.428,718.714,2.286,hold out/give [a22],,,,217_18m_socpop_consensus.eaf,217
731.403,733.056,1.653,hold out/give [a23],,,,217_18m_socpop_consensus.eaf,217
755.473,756.518,1.045,hold out/give [a24],,,,217_18m_socpop_consensus.eaf,217
822.164,823.584,1.42,hold out/give [a25],,,,217_18m_socpop_consensus.eaf,217
849.09,851.785,2.695,hold out/give [a26],,,,217_18m_socpop_consensus.eaf,217
510.453,515.617,5.164,,hold out/give [a1],,,217_18m_socpop_consensus.eaf,217
522.64,523.4,0.76,,touching w/ open hand [a71],,,217_18m_socpop_consensus.eaf,217
526.08,527.027,0.947,,touching w/ open hand [a72],,,217_18m_socpop_consensus.eaf,217
549.258,551.913,2.655,,hold out/give [a2],,,217_18m_socpop_consensus.eaf,217
558.36,561.16,2.8,,hold out/give [a73],,,217_18m_socpop_consensus.eaf,217
589.538,592.323,2.785,,hold out/give [a3],,,217_18m_socpop_consensus.eaf,217
597.745,598.206,0.461,,extended index finger [a4],,,217_18m_socpop_consensus.eaf,217
600.421,602.673,2.252,,hold out/give [a5],,,217_18m_socpop_consensus.eaf,217
606.48,608.911,2.431,,hold out/give [a6],,,217_18m_socpop_consensus.eaf,217
625.152,628.435,3.283,,hold out/give [a7],,,217_18m_socpop_consensus.eaf,217
668.292,675.057,6.765,,hold out/give [a8],,,217_18m_socpop_consensus.eaf,217
696.184,698.999,2.815,,hold out/give [a69],,,217_18m_socpop_consensus.eaf,217
716.315,717.598,1.283,,hold out/give [a9],,,217_18m_socpop_consensus.eaf,217
731.6,734.1,2.5,,hold out/give [a67],,,217_18m_socpop_consensus.eaf,217
735.221,738.673,3.452,,hold out/give [a10],,,217_18m_socpop_consensus.eaf,217
741.02,743.055,2.035,,hold out/give [a11],,,217_18m_socpop_consensus.eaf,217
