id,gestures,labels,labels_w_gestures,iconic,point,hold_out,touch,labels_w_rel_gestures,ses_18m,sex,L1PRE_mom_birth_country,rt_18m,rt_25m,rt_25m_sd,rt_25m_ntrials,acc_18m,acc25m,age_18m,age_25m,cdi_25m,awc_phr_18m,cdi_18m,labels_me_rel,labels_me,prop_lab_ges
084,14,38,11,0,2,11,1,9,24,0,mexico,1258.5,889.4545455,326.9080493,11,0.678761154,0.504865148,18.6,26.2,292,4020.539153,19,29,27,0.2894736842105263
105,20,86,32,0,0,19,1,26,37.5,0,el salvador,1138.888889,1010.823529,401.8082931,17,0.492329481,0.60283269,19.3,25.1,124,5471.382637,25,60,54,0.37209302325581395
109,26,82,31,0,5,21,0,25,19.5,0,el salvador,961.8571429,664.2142857,205.7059808,14,0.422377075,0.715222162,19.1,26.5,355,5550.761421,82,57,51,0.3780487804878049
114,41,68,37,1,18,22,0,34,22.5,0,mexico,884.7272727,889.5625,287.3740811,16,0.599771464,0.657063306,18.5,25.2,139,2953.61596,5,34,31,0.5441176470588235
121,21,43,25,0,0,21,0,17,22,1,mexico,647.3333333,863.3,264.3133872,10,0.624764855,0.673917234,17.5,24.7,347,2554.83871,0,26,18,0.5813953488372093
132,28,55,25,0,6,22,0,21,40,0,usa,916.6,726.1111111,160.0729868,9,0.722596444,0.513843622,17.6,24.8,446,4118.216561,39,34,30,0.45454545454545453
133,13,35,9,0,0,11,2,4,27,0,mexico,691.75,1083.25,513.7264999,4,0.553225919,0.458336731,17.1,24.5,252,3428.129032,1,31,26,0.2571428571428571
140,10,49,12,0,0,9,1,8,17.5,1,mexico,1115.25,743.5384615,228.1858217,13,0.548811049,0.679134701,19.8,25.3,280,3377.419355,97,41,37,0.24489795918367346
141,26,120,40,0,2,24,0,21,20,1,mexico,916.5,841.75,317.95951,4,0.600605623,0.72870429,19.2,26.5,525,5738.947368,3,99,80,0.3333333333333333
145,17,46,15,1,3,12,1,10,28,1,mexico,605.5,547,139.9819036,16,0.710235244,0.773385365,19.5,25.2,410,3713.868613,95,36,31,0.32608695652173914
146,19,24,11,0,2,17,0,10,29.5,0,mexico,855.5,629.3809524,201.1972853,21,0.496117545,0.712624982,17.3,24.7,24,2688.277858,0,14,13,0.4583333333333333
150,27,41,22,0,0,24,3,16,13,1,mexico,1025,937,256.033201,9,0.608011081,0.576971156,18.6,26.3,567,4842.023346,0,25,19,0.5365853658536586
157,17,91,22,0,1,14,2,19,24,1,mexico,975,781.4444444,299.1960524,9,0.546070542,0.587747792,19.3,25.3,588,4998.781973,143,72,69,0.24175824175824176
168,19,60,21,0,2,17,0,17,13,1,mexico,767,921.5882353,388.5130401,17,0.688010917,0.630417588,17.3,24.3,474,4501.192053,5,43,39,0.35
