"","id","gestures","labels","gestures_w_labels"
"1","069_18m_socpop_JR.eaf",32,54,26
"2","084_18m_socpop_consensus.eaf",14,39,10
"3","096_18m_socpop_JR.eaf",19,45,11
"4","100_18m_socpop_JR.eaf",16,NA,NA
"5","105_18m_socpop_consensus.eaf",20,86,20
"6","105_18m_socpop_JB.eaf",18,NA,NA
"7","105_18m_socpop_JR.eaf",20,NA,NA
"8","109_18m_socpop_JR.eaf",26,81,24
"9","114_18m_socpop_JR.eaf",41,68,28
"10","121_18m_socpop_consensus.eaf",21,43,18
"11","121_18m_socpop_JB.eaf",21,NA,NA
"12","121_18m_socpop_JR.eaf",23,NA,NA
"13","132_18m_socpop_JR.eaf",28,55,16
"14","133_18m_socpop_JR.eaf",13,38,9
"15","140_18m_socpop_JR.eaf",10,56,7
"16","141_18m_socpop_JR.eaf",26,120,25
"17","145_18m_socpop_JR.eaf",17,47,12
"18","146_18m_socpop_JR.eaf",19,24,10
"19","150_18m_socpop_JR.eaf",27,41,18
"20","157_18m_socpop_JR.eaf",17,91,14
"21","168_18m_socpop_JR.eaf",19,60,16
"22","182_18m_socpop_consensus.eaf",32,NA,NA
"23","182_18m_socpop_JB.eaf",30,NA,NA
"24","182_18m_socpop_MB.eaf",31,NA,NA
"25","188_18m_socpop_JR.eaf",24,25,14
"26","190_18m_socpop_JR.eaf",13,45,10
"27","192_18m_socpop_JR.eaf",17,56,13
"28","193_18m_socpop_JR.eaf",10,22,7
"29","196_18m_socpop_JR.eaf",7,61,5
"30","197_18m_socpop_JR.eaf",15,NA,NA
"31","217_18m_socpop_consensus.eaf",29,37,21
"32","217_18m_socpop_JR.eaf",25,38,21
"33","230_18m_socpop_consensus.eaf",29,52,25
"34","230_18m_socpop_JB.eaf",23,44,18
"35","230_18m_socpop_JR.eaf",30,50,25
"36","230_18m_socpop_MB.eaf",26,NA,NA
"37","232_18m_socpop_JR.eaf",16,34,13
"38","260_18m_socpop_JR.eaf",21,53,14
"39","266_18m_socpop_consensus.eaf",18,NA,NA
"40","266_18m_socpop_JB.eaf",19,NA,NA
"41","266_18m_socpop_JR.eaf",20,NA,NA
"42","283_18m_socpop_consensus.eaf",30,45,18
"43","283_18m_socpop_JB.eaf",27,42,15
"44","283_18m_socpop_JR.eaf",28,43,15
"45","283_18m_socpop_MB.eaf",31,NA,NA
"46","308_18m_socpop_JR.eaf",15,34,13
"47","309_18m_socpop_JR.eaf",33,59,29
"48","310_18m_socpop_JR.eaf",10,24,5
"49","311_18m_socpop_consensus.eaf",13,NA,NA
"50","311_18m_socpop_JB.eaf",1,NA,NA
"51","311_18m_socpop_JR.eaf",14,NA,NA
"52","315_18m_socpop_consensus.eaf",15,NA,NA
"53","315_18m_socpop_JR.eaf",12,NA,NA
"54","315_18m_socpop_MB.eaf",10,NA,NA
"55","319_18m_socpop_consensus.eaf",11,8,3
"56","319_18m_socpop_JR.eaf",13,7,2
"57","69_18m_socpop_JR.eaf",30,NA,NA
"58","84_18m_socpop_JB.eaf",12,NA,NA
"59","84_18m_socpop_JR.eaf",13,NA,NA
"60","87_18m_socpop_consensus.eaf",20,NA,NA
"61","87_18m_socpop_JB.eaf",19,NA,NA
"62","87_18m_socpop_JR.eaf",22,NA,NA
