"","id","gestures","labels","labels_w_gestures"
"1","069_18m_socpop_JR.eaf",32,54,35
"2","084_18m_socpop_consensus.eaf",14,39,12
"3","096_18m_socpop_JR.eaf",19,45,10
"4","100_18m_socpop_JR.eaf",16,NA,NA
"5","105_18m_socpop_consensus.eaf",20,86,32
"6","105_18m_socpop_JB.eaf",18,NA,NA
"7","105_18m_socpop_JR.eaf",20,NA,NA
"8","109_18m_socpop_JR.eaf",26,81,30
"9","114_18m_socpop_JR.eaf",41,68,37
"10","121_18m_socpop_consensus.eaf",21,43,25
"11","121_18m_socpop_JB.eaf",21,NA,NA
"12","121_18m_socpop_JR.eaf",23,NA,NA
"13","132_18m_socpop_JR.eaf",28,55,25
"14","133_18m_socpop_JR.eaf",13,38,9
"15","140_18m_socpop_JR.eaf",10,56,14
"16","141_18m_socpop_JR.eaf",26,120,40
"17","145_18m_socpop_JR.eaf",17,47,16
"18","146_18m_socpop_JR.eaf",19,24,11
"19","150_18m_socpop_JR.eaf",27,41,22
"20","157_18m_socpop_JR.eaf",17,91,22
"21","168_18m_socpop_JR.eaf",19,60,22
"22","182_18m_socpop_consensus.eaf",32,NA,NA
"23","182_18m_socpop_JB.eaf",30,NA,NA
"24","182_18m_socpop_MB.eaf",31,NA,NA
"25","188_18m_socpop_JR.eaf",24,25,18
"26","190_18m_socpop_JR.eaf",13,45,9
"27","192_18m_socpop_JR.eaf",17,56,16
"28","193_18m_socpop_JR.eaf",10,22,9
"29","196_18m_socpop_JR.eaf",7,61,9
"30","197_18m_socpop_JR.eaf",15,NA,NA
"31","217_18m_socpop_consensus.eaf",29,37,22
"32","217_18m_socpop_JR.eaf",25,38,24
"33","230_18m_socpop_consensus.eaf",29,52,31
"34","230_18m_socpop_JB.eaf",23,44,24
"35","230_18m_socpop_JR.eaf",30,50,32
"36","230_18m_socpop_MB.eaf",26,NA,NA
"37","232_18m_socpop_JR.eaf",16,34,14
"38","260_18m_socpop_JR.eaf",21,53,16
"39","266_18m_socpop_consensus.eaf",18,NA,NA
"40","266_18m_socpop_JB.eaf",19,NA,NA
"41","266_18m_socpop_JR.eaf",20,NA,NA
"42","283_18m_socpop_consensus.eaf",30,45,24
"43","283_18m_socpop_JB.eaf",27,42,22
"44","283_18m_socpop_JR.eaf",28,43,18
"45","283_18m_socpop_MB.eaf",31,NA,NA
"46","308_18m_socpop_JR.eaf",15,34,12
"47","309_18m_socpop_JR.eaf",33,59,41
"48","310_18m_socpop_JR.eaf",10,24,5
"49","311_18m_socpop_consensus.eaf",13,NA,NA
"50","311_18m_socpop_JB.eaf",1,NA,NA
"51","311_18m_socpop_JR.eaf",14,NA,NA
"52","315_18m_socpop_consensus.eaf",15,NA,NA
"53","315_18m_socpop_JR.eaf",12,NA,NA
"54","315_18m_socpop_MB.eaf",10,NA,NA
"55","319_18m_socpop_consensus.eaf",11,8,4
"56","319_18m_socpop_JR.eaf",13,7,3
"57","69_18m_socpop_JR.eaf",30,NA,NA
"58","84_18m_socpop_JB.eaf",12,NA,NA
"59","84_18m_socpop_JR.eaf",13,NA,NA
"60","87_18m_socpop_consensus.eaf",20,NA,NA
"61","87_18m_socpop_JB.eaf",19,NA,NA
"62","87_18m_socpop_JR.eaf",22,NA,NA
